url,title,date,summary
https://www.detik.com/jabar/berita/d-6941951/jabar-hari-ini-kasus-korupsi-bikin-yana-mulyana-dipecat-tidak-hormat,Jabar Hari Ini: Kasus Korupsi Bikin Yana Mulyana Dipecat Tidak Hormat,2023-09-20 22:12:00,"Ragam peristiwa terjadi di Jabar hari ini, Rabu (20/9/2023). Seperti dipecatnya Yana Mulyana secara tidak hormat sebagai Walkot Bandung."
https://www.detik.com/jabar/hukum-dan-kriminal/d-6941949/kesal-hidung-belang-hingga-tega-bekap-mati-gadis-di-tasikmalaya,Kesal Hidung Belang hingga Tega Bekap Mati Gadis di Tasikmalaya,2023-09-20 18:59:00,RM (29) tega menghabisi nyawa gadis belia di Tasikmalaya gegara urusan open BO. Kekesalan RM jadi pemicu dia nekat menghilangkan nyawa SAR (16).
https://www.detik.com/jabar/hukum-dan-kriminal/d-6941444/tatap-mata-berujung-maut-di-tasikmalaya,Tatap Mata Berujung Maut di Tasikmalaya,2023-09-20 16:03:00,"Kasus kematian Fajar Muhamad Nuralam (26) alias Ajay warga Kampung Kebon Tengah Kelurahan Tuguraja, Kecamatan Cihideung, Kota Tasikmalaya terungkap."
https://www.detik.com/jabar/hukum-dan-kriminal/d-6941208/perempuan-muda-tewas-di-kamar-kost-tasik-dibunuh-gegara-open-bo,Perempuan Muda Tewas di Kamar Kost Tasik Dibunuh gegara Open BO,2023-09-20 14:32:00,Polisi mengungkap kasus kematian perempuan muda berinisal SAR (16) di kamar kost Tasikmalaya. Koban ternyata tewas di tangan pria berinisial RM (29).
https://sport.detik.com/sport-lain/d-6940283/kompetisi-push-bike-terbesar-di-indonesia-tuntas-ini-hasilnya,"Kompetisi Push Bike Terbesar di Indonesia Tuntas, Ini Hasilnya",2023-09-19 23:30:00,Cirebon baru saja menggelar kompetisi push bike terbesar di Indoneesia. Diharapkan kompetisi ini bisa melahirkan atlet-atlet cilik berbakat ke depannya.
https://news.detik.com/berita/d-6939983/bupati-bandung-sebut-kcjb-dukung-kunjungan-wisata-ke-daerah,Bupati Bandung Sebut KCJB Dukung Kunjungan Wisata ke Daerah,2023-09-19 19:03:00,"Dengan diaktifkannya KCJB, Dadang berharap dapat membantu dan mempercepat pertumbuhan ekonomi di Jawa Barat umumnya, di Bandung Raya khususnya."
https://www.detik.com/jabar/berita/d-6939090/dampak-kekeringan-di-kota-tasikmalaya-semakin-meluas,Dampak Kekeringan di Kota Tasikmalaya Semakin Meluas,2023-09-19 14:14:00,Dampak kemarau berupa kekeringan lahan pertanian dan krisis air bersih semakin meluas di Kota Tasikmalaya.
https://www.detik.com/jabar/berita/d-6938926/respons-pemkot-tasik-soal-batalnya-konser-yang-berbuntut-panjang,Respons Pemkot Tasik soal Batalnya Konser yang Berbuntut Panjang,2023-09-19 13:45:00,Pemkot Tasikmalaya buka suara menanggapi polemik batalnya konser musik di Tasikmalaya hingga memunculkan asumsi Tasikmalaya intoleran.
https://www.detik.com/jabar/hukum-dan-kriminal/d-6937952/jadi-penghuni-indekos-agar-bisa-mencuri,Jadi Penghuni Indekos agar Bisa Mencuri,2023-09-19 03:30:00,"Seorang pencuri spesialis indeos ditangkap polisi di Tasikmalaya. Modusnya, pelaku menjadi penghuni indekos sebelum melancarkan aksinya."
https://www.detik.com/jabar/berita/d-6937834/sejumlah-aktivis-mempertanyakan-batalnya-konser-gigi-di-tasik,Sejumlah Aktivis Mempertanyakan Batalnya Konser GIGI di Tasik,2023-09-18 18:14:00,"Pembatalan pelaksanaan konser musik di area parkir Asia Plaza Tasik, menuai respons dari sebagian kalangan masyarakat. Mereka mempertanyakan pembatalan itu."
